b'4176,preLaunch,-0.04,99353.62,26.40,38.28,56.93,61.26,44.12,0.32,-0.42,-0.29\r\n'
b'7249,goForLaunch,-0.45,99358.55,26.44,38.13,-44.90,11.24,29.53,-0.50,0.03,-0.29\r\n'
b'9331,goForLaunch,-0.11,99354.49,26.43,38.12,0.00,40.91,0.00,0.00,-0.41,0.29\r\n'
b'11404,goForLaunch,-0.16,99355.02,26.43,38.21,0.00,40.91,0.00,0.00,-0.41,0.29\r\n'
b'13477,goForLaunch,0.07,99352.40,26.43,38.23,-32.27,-61.02,58.49,-0.29,0.03,-0.29\r\n'
b'15559,goForLaunch,-0.03,99353.52,26.44,38.17,-14.38,52.51,53.22,-0.43,0.03,-0.29\r\n'
b'17641,goForLaunch,-0.25,99356.17,26.44,38.13,-4.04,-54.00,40.70,-0.05,0.03,-0.29\r\n'
b'19723,goForLaunch,0.04,99352.68,26.43,38.42,-76.84,-1.28,57.15,0.53,0.03,-0.29\r\n'
b'174123,preLaunch,-0.27,99377.00,26.28,38.51,-0.91,1.12,9.76,0.06,-0.12,-0.07\r\n'
b'178241,preLaunch,-0.30,99377.35,26.30,38.55,-0.90,1.13,9.75,0.06,-0.12,-0.07\r\n'
b'182359,preLaunch,0.29,99370.37,26.27,38.74,-0.92,1.11,9.75,0.07,-0.12,-0.07\r\n'
b'190595,preLaunch,0.00,99373.69,26.27,38.49,-0.91,1.12,9.75,0.07,-0.12,-0.08\r\n'
b'193957,goForLaunch,-0.09,99374.83,26.26,38.76,-0.91,1.11,9.75,0.07,-0.12,-0.07\r\n'
b'196081,goForLaunch,-0.24,99376.66,26.26,38.74,-0.92,1.11,9.74,0.06,-0.12,-0.07\r\n'
b'198205,goForLaunch,-0.02,99373.99,26.25,38.55,-0.90,1.10,9.75,0.06,-0.12,-0.07\r\n'
b'200329,goForLaunch,-0.09,99374.91,26.23,38.50,-0.92,1.09,9.75,0.06,-0.12,-0.07\r\n'
b'23802,preLaunch,6.66,99329.44,18.86,54.17,3.02,-3.67,8.69,-0.09,-0.21,0.19\r\n'
b'27916,preLaunch,-0.50,99414.02,19.43,54.19,-2.85,-2.76,9.30,0.80,0.22,-1.48\r\n'
b'36143,preLaunch,-0.74,99416.91,19.44,55.12,1.61,-1.51,9.60,0.31,0.07,-0.43\r\n'
b'40257,preLaunch,-0.47,99413.70,19.44,55.81,2.02,-0.90,9.57,0.11,-0.13,-0.07\r\n'
b'114317,preLaunch,-0.28,99411.45,19.89,54.92,-1.99,1.36,9.52,0.05,-0.19,0.00\r\n'
b'118435,preLaunch,4.07,99360.03,19.62,54.85,-1.51,1.28,9.64,0.05,-0.13,-0.05\r\n'
b'1255,peLunch,5.95,9937.0,9.6,4.7,1.2,1.21,9.54,0.06,-.14,-0.09\r\n'
b'1661,reauch-0199910312001,54.43,-2.57,3.28,8.65,050-0.44,-0.24\r\n'
b'13079prLunh-044,941.1,0.045427,-.7,1.04,9.490.1,0.4,0.20\n'
b'1390,preLaunch1.6,936.7,19.9,4.7,0.2,.6,1.5,-.10,0.22,0.5\r3909,preLaunch,-0.65,9945.80,2.0,5.99,-0.612.90,10.1,-1.35,1.34,.0\r\n'
b'1314,preLanch,-065,99415.80,1.8,54.32,-0902.2,9.75,0.9,.3,-0.74\r\n'
b'147263,prLanch,-43499459.43,0.9,4.1,0.55,-19510.38,0.04,-.5,-.5\r\n'
b'33506,goForLaunch,-0.35,99472.48,25.41,41.18,5.49,0.04,8.25,0.06,-0.13,-0.08\r\n'
b'35868,goForLaunch,-0.45,99473.63,25.41,41.18,5.49,0.04,8.23,0.06,-0.12,-0.08\r\n'
b'37986,goForLaunch,-0.37,99472.70,25.42,41.17,5.55,0.02,8.19,0.07,-0.12,-0.08\r\n'
b'40104,ascending,30.29,99110.38,25.43,41.12,5.35,0.04,8.19,0.06,-0.12,-0.08\r\n'
b'42218,ascending,75.70,98575.80,25.44,41.00,5.49,-0.05,8.27,0.07,-0.12,-0.07\r\n'
b'44336,ascending,112.36,98146.00,25.44,40.90,5.46,0.00,8.27,0.06,-0.12,-0.08\r\n'
b'46454,ascending,142.50,97793.65,25.45,40.82,5.61,-0.06,8.26,0.07,-0.11,-0.08\r\n'
b'48572,ascending,168.29,97493.09,25.45,40.76,5.57,-0.11,8.25,0.07,-0.12,-0.08\r\n'
b'50690,ascending,190.11,97239.31,25.46,40.72,5.53,0.00,8.15,0.06,-0.13,-0.07\r\n'
b'52808,ascending,210.19,97006.28,25.47,40.70,5.45,0.23,8.29,0.06,-0.13,-0.07\r\n'
b'54926,ascending,228.29,96796.62,25.48,40.65,5.39,0.20,8.31,0.06,-0.13,-0.08\r\n'
b'57044,ascending,244.81,96605.55,25.48,40.61,5.43,0.19,8.26,0.07,-0.13,-0.08\r\n'
b'59162,ascending,260.13,96428.68,25.49,40.57,5.61,-0.10,8.24,0.07,-0.12,-0.08\r\n'
b'61280,ascending,273.56,96273.70,25.50,40.57,5.54,0.05,8.13,0.06,-0.13,-0.07\r\n'
b'63398,ascending,285.98,96130.73,25.51,40.51,5.61,-0.12,8.28,0.06,-0.12,-0.08\r\n'
b'65516,ascending,297.69,95995.97,25.51,40.51,5.48,-0.06,8.44,0.06,-0.06,-0.07\r\n'
b'67632,descending,308.18,95875.50,25.52,40.49,5.60,-0.05,8.17,0.06,-0.12,-0.08\r\n'
b'69754,descending,318.96,95751.76,25.53,40.47,5.43,0.20,8.35,0.07,-0.13,-0.08\r\n'
b'71872,descending,328.23,95645.41,25.54,40.45,5.59,-0.10,8.26,0.06,-0.12,-0.08\r\n'
b'73996,descending,339.13,95520.58,25.55,40.43,5.37,0.20,8.34,0.07,-0.12,-0.08\r\n'
b'76114,descending,348.33,95415.25,25.55,40.41,5.36,0.15,8.21,0.06,-0.13,-0.07\r\n'
b'78232,descending,357.36,95312.03,25.56,40.37,5.38,0.20,8.29,0.06,-0.13,-0.07\r\n'
b'80350,descending,365.45,95219.48,25.58,40.35,5.46,0.03,8.23,0.06,-0.12,-0.08\r\n'
b'82468,descending,373.84,95123.77,25.58,40.36,5.40,0.16,8.27,0.06,-0.12,-0.07\r\n'
b'84586,descending,382.17,95028.70,25.59,40.35,5.47,0.24,8.26,0.06,-0.13,-0.08\r\n'
b'86704,descending,389.48,94945.38,25.60,40.32,5.50,0.25,8.22,0.07,-0.12,-0.08\r\n'
b'88822,descending,394.62,94886.85,25.60,40.31,5.43,0.48,8.13,0.14,-0.13,0.03\r\n'
b'90940,descending,372.79,95135.71,25.62,40.35,5.47,0.04,8.27,0.06,-0.12,-0.07\r\n'
b'93058,descending,350.08,95395.17,25.63,40.40,5.41,0.02,8.22,0.06,-0.13,-0.07\r\n'
b'95176,descending,328.68,95640.22,25.64,40.48,5.44,0.05,8.22,0.06,-0.12,-0.07\r\n'
b'97294,descending,308.31,95873.96,25.65,40.49,5.43,0.05,8.28,0.06,-0.13,-0.07\r\n'
b'99414,descending,287.32,96115.34,25.66,40.53,5.56,0.10,8.11,0.07,-0.13,-0.07\r\n'
b'101534,descending,268.61,96330.86,25.67,40.55,5.78,0.62,8.22,-0.10,-0.12,-0.25\r\n'
b'103658,descending,183.90,97311.50,25.69,40.70,5.37,0.07,8.30,0.07,-0.11,-0.08\r\n'
b'105782,descending,169.66,97477.16,25.69,40.75,5.50,-0.03,8.26,0.06,-0.12,-0.08\r\n'
b'107906,descending,149.31,97714.23,25.71,40.79,5.46,-0.03,8.28,0.06,-0.13,-0.08\r\n'
b'110030,descending,112.22,98147.56,25.72,40.84,5.47,-0.04,8.32,0.06,-0.13,-0.08\r\n'
b'112154,descending,55.23,98816.55,25.73,40.94,5.43,-0.02,8.30,0.06,-0.12,-0.08\r\n'
b'114278,descending,13.74,99305.88,25.74,41.02,5.47,-0.02,8.24,0.06,-0.12,-0.08\r\n'
b'48688,goForLaunch,0.11,99463.41,26.00,40.43,5.43,-0.20,8.23,0.06,-0.14,-0.07\r\n'
b'51050,goForLaunch,0.21,99462.20,26.01,40.41,5.40,-0.18,8.27,0.06,-0.13,-0.07\r\n'
b'53170,goForLaunch,-2.67,99496.36,26.02,40.40,5.39,-0.21,8.28,0.06,-0.13,-0.07\r\n'
b'55292,ascending,19.78,99230.94,26.03,40.35,5.02,-0.06,8.55,0.07,-0.12,-0.08\r\n'
b'57410,ascending,66.90,98675.75,26.04,40.25,5.52,-0.27,8.21,0.07,-0.12,-0.08\r\n'
b'59528,ascending,103.42,98247.17,26.04,40.14,5.27,-0.12,8.38,0.06,-0.15,-0.07\r\n'
b'61646,ascending,134.08,97888.52,26.05,40.06,5.07,-0.11,8.47,0.06,-0.13,-0.08\r\n'
b'63764,ascending,160.07,97585.28,26.06,39.99,5.46,-0.29,8.18,0.06,-0.11,-0.07\r\n'
b'65882,ascending,183.47,97312.95,26.07,39.93,5.30,-0.21,8.28,0.07,-0.12,-0.08\r\n'
b'68000,ascending,203.69,97078.19,26.08,39.87,5.11,-0.10,8.52,0.06,-0.13,-0.07\r\n'
b'70118,ascending,222.19,96863.71,26.08,39.85,5.20,-0.16,8.27,0.07,-0.12,-0.07\r\n'
b'72236,ascending,239.65,96661.67,26.09,39.82,5.15,-0.06,8.48,0.06,-0.13,-0.07\r\n'
b'74354,ascending,254.89,96485.59,26.10,39.76,5.09,-0.10,8.46,0.06,-0.13,-0.07\r\n'
b'76472,ascending,269.13,96321.28,26.11,39.74,5.67,-0.23,8.16,0.06,-0.13,-0.08\r\n'
b'78590,ascending,281.58,96177.88,26.12,39.71,5.69,-0.23,8.18,0.06,-0.13,-0.07\r\n'
b'80708,ascending,294.32,96031.32,26.13,39.69,5.55,-0.26,7.99,0.07,-0.11,-0.08\r\n'
b'82826,descending,307.04,95885.05,26.13,39.67,5.41,-0.28,8.23,0.07,-0.12,-0.08\r\n'
b'84950,descending,318.33,95755.44,26.14,39.63,5.41,-0.20,8.24,0.06,-0.13,-0.08\r\n'
b'87074,descending,309.51,95856.70,26.16,39.64,5.39,-0.23,8.28,0.06,-0.13,-0.07\r\n'
b'89198,descending,287.47,96110.13,26.16,39.71,5.30,-0.19,8.34,0.06,-0.12,-0.07\r\n'
b'91322,descending,265.66,96361.39,26.18,39.74,5.39,-0.19,8.28,0.06,-0.13,-0.07\r\n'
b'93446,descending,244.94,96600.56,26.19,39.82,5.39,-0.19,8.30,0.06,-0.13,-0.07\r\n'
b'95570,descending,223.97,96843.05,26.19,39.84,5.34,-0.19,8.31,0.06,-0.13,-0.07\r\n'
b'97694,descending,204.37,97070.30,26.21,39.88,5.37,-0.19,8.29,0.06,-0.13,-0.08\r\n'
b'99818,descending,185.21,97302.04,26.21,39.90,5.19,-0.11,8.36,0.07,-0.12,-0.08\r\n'
b'101942,descending,157.46,97615.70,26.23,39.95,5.76,0.01,8.08,0.07,-0.13,-0.08\r\n'
b'104066,descending,129.47,97942.39,26.24,40.00,5.69,0.28,7.99,0.08,-0.10,-0.09\r\n'
b'106190,descending,73.10,98602.84,26.25,40.10,16.30,1.52,-4.20,0.64,0.14,0.20\r\n'
b'108308,descending,0.17,99462.67,26.27,40.24,5.71,0.04,8.07,0.07,-0.12,-0.08\r\n'
b'351817,goForLaunch,-0.07,99475.09,25.96,39.45,-0.52,0.76,9.59,0.12,0.06,0.09\r\n'
b'354181,goForLaunch,-0.02,99474.46,25.97,39.44,0.45,1.48,9.85,-0.20,-0.16,-0.43\r\n'
b'356303,goForLaunch,-0.24,99477.15,25.97,39.43,-1.20,2.68,9.87,0.23,0.09,-0.07\r\n'
b'358427,goForLaunch,-0.10,99475.44,25.99,39.42,-1.98,0.79,9.75,0.17,-0.21,-0.08\r\n'
b'360551,goForLaunch,-0.01,99474.44,25.99,39.39,-0.36,0.35,10.39,-0.12,-0.66,-0.00\r\n'
b'362677,goForLaunch,-0.01,99474.41,26.00,39.39,0.31,0.99,10.30,0.09,-0.71,-0.64\r\n'
b'364801,goForLaunch,-0.01,99474.44,26.00,39.38,0.38,0.87,10.21,0.16,-0.45,-0.05\r\n'
b'366925,goForLaunch,-0.03,99474.58,26.01,39.38,0.03,0.28,9.60,0.14,0.33,-0.43\r\n'
b'369045,goForLaunch,-0.40,99478.98,26.01,39.38,3.22,-0.94,9.51,0.82,0.09,0.51\r\n'
b'371163,goForLaunch,0.10,99473.05,26.03,39.36,2.15,-0.25,9.43,-0.18,0.04,1.07\r\n'
b'373281,goForLaunch,-0.04,99474.80,26.03,39.36,2.41,0.46,10.17,0.55,-0.17,-1.70\r\n'
b'375405,goForLaunch,-0.15,99476.02,26.03,39.37,0.55,-1.07,9.76,0.77,0.05,-2.27\r\n'
b'377529,goForLaunch,-0.03,99474.59,26.05,39.41,-0.52,0.10,8.12,0.10,-0.15,-0.00\r\n'
b'379653,goForLaunch,-0.18,99476.45,26.05,39.40,-1.46,0.76,9.31,0.23,-0.17,-0.02\r\n'
b'381777,goForLaunch,0.14,99472.58,26.06,39.38,-1.22,0.52,9.65,-0.02,-0.16,-0.05\r\n'
b'383904,goForLaunch,0.08,99473.28,26.07,39.34,-1.28,0.52,9.74,-0.00,-0.12,-0.04\r\n'
b'386031,goForLaunch,0.03,99473.98,26.09,39.30,0.20,0.25,10.42,0.23,0.90,0.84\r\n'
b'388149,goForLaunch,0.46,99468.78,26.09,39.24,-1.42,0.97,9.85,-0.13,-0.24,0.33\r\n'
b'390271,goForLaunch,-0.05,99474.93,26.09,39.24,-1.62,2.25,9.43,0.17,-0.34,-0.07\r\n'
b'392393,goForLaunch,-0.07,99475.14,26.11,39.24,0.17,2.01,9.47,0.13,-0.08,0.01\r\n'
b'394513,goForLaunch,-0.11,99475.61,26.12,39.29,-0.50,3.01,9.42,0.18,-0.13,-0.00\r\n'
b'396637,goForLaunch,-0.06,99475.01,26.12,39.26,0.02,2.32,9.73,0.10,-0.17,-0.09\r\n'
b'398761,goForLaunch,-0.24,99477.17,26.13,39.22,0.31,2.88,9.41,0.17,-0.60,-0.79\r\n'
b'400887,goForLaunch,-0.04,99474.70,26.12,39.23,-3.39,1.37,11.69,-0.92,-1.15,-0.33\r\n'
b'403015,goForLaunch,0.00,99474.28,26.13,39.21,-0.53,0.26,10.42,-0.27,-0.07,-0.38\r\n'
b'405143,goForLaunch,0.33,99470.44,26.13,39.21,-1.55,0.73,11.56,0.21,-1.11,-0.85\r\n'
b'407270,goForLaunch,0.20,99471.91,26.14,39.23,-2.00,1.52,10.86,-0.36,0.03,-0.10\r\n'
b'409394,goForLaunch,0.34,99470.23,26.14,39.26,-1.34,2.01,8.79,0.38,-0.10,-0.32\r\n'
b'411518,goForLaunch,-0.00,99474.33,26.15,39.28,0.31,1.92,9.59,0.06,-0.09,0.04\r\n'
b'413636,goForLaunch,-0.13,99475.80,26.15,39.31,0.46,2.15,9.03,0.26,0.28,0.04\r\n'
b'415756,goForLaunch,-0.21,99476.73,26.16,39.32,0.75,1.17,9.89,-0.08,-0.35,-0.87\r\n'
b'417880,goForLaunch,-0.23,99477.05,26.16,39.37,0.05,1.90,9.16,0.00,-0.22,0.75\r\n'
b'420000,goForLaunch,-0.38,99478.83,26.17,39.40,-0.35,2.62,8.94,-0.29,-0.22,0.30\r\n'
b'422127,goForLaunch,-0.21,99476.73,26.17,39.38,-1.69,-1.03,9.09,0.13,0.04,-0.85\r\n'
b'424251,goForLaunch,-0.05,99474.92,26.17,39.42,10.06,0.80,-0.05,0.08,-0.00,0.38\r\n'
b'426377,goForLaunch,-0.80,99483.80,26.20,39.42,9.27,-0.28,0.43,0.46,1.46,-1.27\r\n'
b'428501,goForLaunch,-0.30,99477.80,26.20,39.44,9.79,0.56,0.73,0.46,-1.06,0.14\r\n'
b'430621,goForLaunch,0.22,99470.16,26.21,39.35,12.25,-0.95,1.35,-0.05,-1.47,-0.68\r\n'
b'432749,goForLaunch,1.39,99457.80,26.22,39.34,7.87,0.66,0.36,-4.33,1.08,-1.30\r\n'
b'434869,goForLaunch,2.25,99447.69,26.23,39.28,8.68,-0.21,0.89,-1.09,0.08,-0.66\r\n'
b'436993,goForLaunch,3.24,99435.92,26.24,39.23,8.12,1.05,-0.22,-1.97,1.84,-0.25\r\n'
b'439117,goForLaunch,4.04,99426.47,26.25,39.21,6.36,-0.54,1.46,6.93,0.18,1.63\r\n'
b'441235,ascending,5.10,99413.91,26.27,39.12,12.69,-2.95,2.24,8.76,1.15,-0.74\r\n'
b'443353,ascending,5.66,99407.34,26.29,39.05,10.26,-0.83,0.11,-0.90,1.44,-0.47\r\n'
b'445471,ascending,6.41,99398.41,26.30,39.01,9.73,-1.73,-1.16,1.09,-1.55,0.21\r\n'
b'447589,ascending,7.46,99386.02,26.31,38.98,8.44,-0.28,0.58,-0.90,0.36,0.43\r\n'
b'449705,ascending,8.72,99371.11,26.32,38.94,10.32,1.11,1.09,1.46,0.32,-0.74\r\n'
b'451819,ascending,9.88,99357.46,26.33,38.89,10.35,0.17,0.78,-0.41,1.77,0.66\r\n'
b'453933,ascending,11.28,99340.91,26.36,38.82,9.99,-1.95,-0.14,-1.78,-1.02,-0.36\r\n'
b'456057,ascending,11.19,99341.89,26.36,38.78,10.61,-1.12,1.25,1.59,0.46,0.39\r\n'
b'458177,ascending,11.75,99335.36,26.37,38.73,9.83,-0.58,0.26,-1.24,-0.45,-0.34\r\n'
b'460299,ascending,11.97,99332.75,26.38,38.64,9.46,-0.08,1.03,1.55,-0.59,0.06\r\n'
b'462417,ascending,11.65,99336.5\xb2r\x9a,38.\x82r\x82\xb2-0.30,0.74,-0.53,0.35,-1.10\r\n'
b'464539,ascending,11.84,99334.28,26.40,38.59,10.49,-1.05,1.52,0.62,-0.27,-0.33\r\n'
b'466661,ascending,12.02,99332.12,26.41,38.50,10.96,-0.73,0.20,0.59,-0.02,-0.10\r\n'
b'468783,ascending,14.37,99304.39,26.43,38.44,12.57,-0.63,0.40,1.58,-0.37,-0.52\r\n'
b'470904,ascending,25.66,99170.98,26.41,38.27,8.57,0.00,0.32,-1.54,-0.27,0.03\r\n'
b'473024,ascending,39.89,99003.12,26.38,38.08,9.12,-0.92,1.86,0.23,-0.31,-1.08\r\n'
b'475142,ascending,53.06,98848.06,26.35,38.01,9.21,0.11,0.78,0.19,-2.97,-2.53\r\n'
b'477260,ascending,65.32,98703.73,26.34,37.94,7.39,0.12,1.07,0.93,-1.51,1.15\r\n'
b'479376,ascending,76.53,98572.05,26.31,37.56,9.70,-0.53,-0.15,-1.79,0.10,-0.76\r\n'
b'481498,ascending,90.20,98411.61,26.25,37.35,10.18,-0.73,0.77,1.18,-0.76,-0.16\r\n'
b'483622,ascending,102.58,98259.84,26.24,37.10,9.77,0.47,1.10,-0.77,0.17,0.02\r\n'
b'485745,ascending,117.49,98091.91,26.21,36.84,8.42,-1.54,-0.85,5.77,-0.28,0.08\r\n'
b'487869,ascending,133.13,97909.02,26.16,36.61,9.35,-3.40,3.98,12.94,-1.71,-0.84\r\n'
b'489991,ascending,145.93,97759.54,26.13,36.44,10.35,-3.72,0.97,10.74,0.09,1.50\r\n'
b'492117,ascending,158.09,97617.78,26.14,36.15,8.78,-0.48,0.85,-3.59,-0.67,0.14\r\n'
b'494239,ascending,168.48,97496.80,26.10,35.89,11.10,-0.84,1.91,1.99,-1.06,0.31\r\n'
b'496363,ascending,181.23,97348.39,26.09,35.75,12.64,-0.18,1.16,-0.07,0.47,-0.02\r\n'
b'498487,ascending,195.86,97178.41,26.05,35.55,10.29,-0.78,0.25,-0.60,-0.46,-1.36\r\n'
b'500613,ascending,215.15,96954.63,25.70,35.34,9.44,0.15,1.17,0.98,-0.62,0.86\r\n'
b'502733,ascending,223.98,96852.32,25.97,35.28,11.72,-1.08,1.23,3.03,-0.47,-1.26\r\n'
b'504860,ascending,235.63,96717.48,25.94,35.22,10.30,-0.36,1.02,1.52,0.30,1.30\r\n'
b'506978,ascending,250.48,96545.86,25.90,35.24,9.00,0.16,0.70,0.80,0.85,1.35\r\n'
b'509094,ascending,261.27,96421.34,25.88,35.21,14.08,1.11,3.10,-0.23,-0.58,3.92\r\n'
b'511218,ascending,248.51,96568.62,25.88,35.29,8.40,-0.07,2.20,1.08,0.46,0.15\r\n'
b'513338,ascending,233.13,96746.44,25.88,35.38,11.04,-1.51,3.46,2.26,0.14,1.00\r\n'
b'515458,ascending,217.33,96929.36,25.87,35.37,6.62,-1.14,4.32,-6.62,-0.72,-0.91\r\n'
